0.1499616 -0.234532 -0.096417 -0.112822 -0.505179 0.0776431 0.8841323 -0.939323 1.2501128 0.2446382 0.1770822
0.1006975 0.1725996   1.08717 -0.168103 0.4106116 -0.318757 -0.055846 -0.057288 0.2388897 0.1124558 0.1710064
0.3993328 -1.043505 -0.212992 -0.039873 0.1089964 -0.901832 -0.527345 0.0022682 -1.427576 -0.154345 -0.244403
0.0938671  0.121158 0.2051846 -0.184175 -0.604389 1.0791928 0.0509351 0.1002929 -0.745198 0.2830277 0.0657454
0.0852649 -0.099617 -0.015772 0.1437739 0.3185975 0.5145822 0.1984314 0.8058375 0.5159928 -1.097466 0.0237845
0.0718124 0.0333677 -0.155389 0.0905779 0.2144282    0.3347 -1.090472 0.0137826  0.649807 0.6218289 0.1269585
0.0811802 0.3478415 -0.237365 -0.011373 0.8405997  0.274146 0.3546711 -0.697457 -0.348445 0.0209986  -0.82458
0.0475511 0.0939624 -0.126292 0.0087714 0.1493505  -0.17311 0.5419491 0.8376365 0.0352978  0.844969 0.1244396
0.1154739 0.6197242 -0.199365 -0.400357 -0.630192 -0.599892 -0.343116 0.3181822  0.213739 -0.517505 -0.884267
0.0311161 0.1783172 -0.147709 -0.162744 0.1120988 -0.082256 -0.007315 -0.136356 -0.151543 -0.203741 1.4061642
0.0689775 0.2747928  0.069167 1.0586405 -0.304552 -0.174043 0.0445423 -0.161064  -0.16586 -0.054958 0.2460531
